DATE,TOTBUSSMNSA
1992-01-01,478951
1992-02-01,496844
1992-03-01,542833
1992-04-01,533768
1992-05-01,537400
1992-06-01,565572
1992-07-01,526186
1992-08-01,539854
1992-09-01,560404
1992-10-01,566566
1992-11-01,545761
1992-12-01,588252
1993-01-01,501102
1993-02-01,519670
1993-03-01,577660
1993-04-01,562473
1993-05-01,568082
1993-06-01,592054
1993-07-01,541465
1993-08-01,571966
1993-09-01,587293
1993-10-01,587643
1993-11-01,582479
1993-12-01,614453
1994-01-01,523199
1994-02-01,548442
1994-03-01,622218
1994-04-01,589743
1994-05-01,606190
1994-06-01,634299
1994-07-01,570383
1994-08-01,637290
1994-09-01,638551
1994-10-01,637472
1994-11-01,636597
1994-12-01,673862
1995-01-01,583576
1995-02-01,602657
1995-03-01,671889
1995-04-01,629789
1995-05-01,665344
1995-06-01,688374
1995-07-01,610456
1995-08-01,678051
1995-09-01,677370
1995-10-01,678823
1995-11-01,671241
1995-12-01,698703
1996-01-01,608890
1996-02-01,640408
1996-03-01,687749
1996-04-01,676459
1996-05-01,705129
1996-06-01,701473
1996-07-01,661061
1996-08-01,704489
1996-09-01,703818
1996-10-01,724199
1996-11-01,700035
1996-12-01,729370
1997-01-01,648926
1997-02-01,670542
1997-03-01,733003
1997-04-01,714436
1997-05-01,728181
1997-06-01,746888
1997-07-01,699834
1997-08-01,728842
1997-09-01,755266
1997-10-01,760523
1997-11-01,718354
1997-12-01,776516
1998-01-01,665199
1998-02-01,691649
1998-03-01,766470
1998-04-01,739466
1998-05-01,743025
1998-06-01,776742
1998-07-01,710372
1998-08-01,738979
1998-09-01,765522
1998-10-01,769652
1998-11-01,740557
1998-12-01,801062
1999-01-01,674466
1999-02-01,713828
1999-03-01,808436
1999-04-01,767844
1999-05-01,782025
1999-06-01,823830
1999-07-01,752260
1999-08-01,807053
1999-09-01,819724
1999-10-01,808320
1999-11-01,808880
1999-12-01,867470
2000-01-01,736418
2000-02-01,788463
2000-03-01,877235
2000-04-01,805781
2000-05-01,857443
2000-06-01,885803
2000-07-01,785590
2000-08-01,859519
2000-09-01,857579
2000-10-01,850389
2000-11-01,832885
2000-12-01,869309
2001-01-01,770101
2001-02-01,774650
2001-03-01,861015
2001-04-01,802263
2001-05-01,859272
2001-06-01,847650
2001-07-01,778233
2001-08-01,849942
2001-09-01,794715
2001-10-01,840896
2001-11-01,806627
2001-12-01,832555
2002-01-01,744727
2002-02-01,745345
2002-03-01,829099
2002-04-01,820175
2002-05-01,854262
2002-06-01,837932
2002-07-01,809140
2002-08-01,860703
2002-09-01,829824
2002-10-01,859516
2002-11-01,823197
2002-12-01,864883
2003-01-01,782576
2003-02-01,774935
2003-03-01,868823
2003-04-01,836394
2003-05-01,860695
2003-06-01,870860
2003-07-01,843766
2003-08-01,868323
2003-09-01,878500
2003-10-01,900758
2003-11-01,841965
2003-12-01,928806
2004-01-01,806952
2004-02-01,829190
2004-03-01,960775
2004-04-01,912194
2004-05-01,921875
2004-06-01,956686
2004-07-01,900073
2004-08-01,951366
2004-09-01,950275
2004-10-01,951949
2004-11-01,948465
2004-12-01,1022229
2005-01-01,877196
2005-02-01,893159
2005-03-01,1031375
2005-04-01,984751
2005-05-01,1008702
2005-06-01,1046772
2005-07-01,969379
2005-08-01,1060651
2005-09-01,1044233
2005-10-01,1037682
2005-11-01,1024483
2005-12-01,1091473
2006-01-01,965506
2006-02-01,959851
2006-03-01,1115019
2006-04-01,1031250
2006-05-01,1118661
2006-06-01,1130766
2006-07-01,1038883
2006-08-01,1138855
2006-09-01,1069221
2006-10-01,1080005
2006-11-01,1060801
2006-12-01,1119564
2007-01-01,1004913
2007-02-01,992297
2007-03-01,1147403
2007-04-01,1097282
2007-05-01,1180260
2007-06-01,1168094
2007-07-01,1104920
2007-08-01,1189734
2007-09-01,1118575
2007-10-01,1188692
2007-11-01,1162536
2007-12-01,1183406
2008-01-01,1102069
2008-02-01,1101336
2008-03-01,1190154
2008-04-01,1200214
2008-05-01,1248440
2008-06-01,1261888
2008-07-01,1230917
2008-08-01,1217705
2008-09-01,1177945
2008-10-01,1151293
2008-11-01,995875
2008-12-01,1050830
2009-01-01,904169
2009-02-01,888602
2009-03-01,981431
2009-04-01,958933
2009-05-01,973259
2009-06-01,1022271
2009-07-01,991381
2009-08-01,1012041
2009-09-01,1009141
2009-10-01,1029979
2009-11-01,1001333
2009-12-01,1093088
2010-01-01,951062
2010-02-01,949431
2010-03-01,1123147
2010-04-01,1091719
2010-05-01,1088264
2010-06-01,1123062
2010-07-01,1077804
2010-08-01,1118983
2010-09-01,1109883
2010-10-01,1116388
2010-11-01,1117840
2010-12-01,1199101
2011-01-01,1064238
2011-02-01,1058756
2011-03-01,1262255
2011-04-01,1200658
2011-05-01,1228496
2011-06-01,1255922
2011-07-01,1180494
2011-08-01,1270590
2011-09-01,1231223
2011-10-01,1226096
2011-11-01,1217572
2011-12-01,1283622
2012-01-01,1152855
2012-02-01,1188475
2012-03-01,1324416
2012-04-01,1259552
2012-05-01,1322104
2012-06-01,1277314
2012-07-01,1226397
2012-08-01,1316060
2012-09-01,1245782
2012-10-01,1309241
2012-11-01,1277601
2012-12-01,1307183
2013-01-01,1210521
2013-02-01,1187768
2013-03-01,1321589
2013-04-01,1295707
2013-05-01,1361191
2013-06-01,1306359
2013-07-01,1299303
2013-08-01,1345794
2013-09-01,1291566
2013-10-01,1355702
2013-11-01,1297466
2013-12-01,1365779
2014-01-01,1225555
2014-02-01,1201567
2014-03-01,1362858
2014-04-01,1356309
2014-05-01,1395691
2014-06-01,1376954
2014-07-01,1361548
2014-08-01,1371359
2014-09-01,1362987
2014-10-01,1390277
2014-11-01,1289339
2014-12-01,1396735
2015-01-01,1187561
2015-02-01,1163256
2015-03-01,1337173
2015-04-01,1308463
2015-05-01,1319997
2015-06-01,1361688
2015-07-01,1311303
2015-08-01,1308274
2015-09-01,1310979
2015-10-01,1319593
2015-11-01,1256570
2015-12-01,1352592
2016-01-01,1132280
2016-02-01,1178484
2016-03-01,1328062
2016-04-01,1258899
2016-05-01,1303404
2016-06-01,1344980
2016-07-01,1243884
2016-08-01,1338955
2016-09-01,1310078
2016-10-01,1299535
2016-11-01,1298291
2016-12-01,1392820
2017-01-01,1211256
2017-02-01,1198499
2017-03-01,1394624
2017-04-01,1294182
2017-05-01,1387392
2017-06-01,1393672
2017-07-01,1293534
2017-08-01,1406360
2017-09-01,1364257
2017-10-01,1397913
2017-11-01,1400133
2017-12-01,1448326
2018-01-01,1298714
2018-02-01,1264348
2018-03-01,1461867
2018-04-01,1386875
2018-05-01,1507576
2018-06-01,1478699
2018-07-01,1414976
2018-08-01,1509262
2018-09-01,1420365
2018-10-01,1505877
2018-11-01,1453888
2018-12-01,1470412
2019-01-01,1335664
2019-02-01,1294816
2019-03-01,1476086
2019-04-01,1455160
2019-05-01,1527572
2019-06-01,1469671
2019-07-01,1461511
2019-08-01,1506034
2019-09-01,1440976
2019-10-01,1506810
2019-11-01,1444206
2019-12-01,1521219
2020-01-01,1368702
2020-02-01,1342331
2020-03-01,1419172
2020-04-01,1187624
2020-05-01,1301205
2020-06-01,1451165
2020-07-01,1450100
2020-08-01,1466443
2020-09-01,1482433
